DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52 WEEK HIGH,52 WEEK LOW,VOLUME,VALUE,NO. OF  TRADES
28-Aug-26,EQ,"1,123.60","1,145.00","1,123.30","1,110.80","1,144.00","1,144.00","1,139.38","1,728.00",982.4,"96,21,969","10,96,30,88,036.20","1,47,819"
27-Aug-26,EQ,"1,120.00","1,130.70","1,107.20","1,120.00","1,110.80","1,110.80","1,112.52","1,728.00",982.4,"69,33,998","7,71,41,83,978.30","1,32,760"
26-Aug-26,EQ,"1,142.00","1,142.00","1,118.30","1,144.00","1,120.00","1,120.00","1,125.69","1,728.00",982.4,"63,23,984","7,11,88,76,913.10","88,562"
25-Aug-26,EQ,"1,132.00","1,144.00","1,119.90","1,130.00","1,144.00","1,144.00","1,126.97","1,728.00",982.4,"81,21,237","9,15,23,54,371.60","1,30,691"
24-Aug-26,EQ,"1,126.50","1,144.50","1,122.00","1,121.00","1,130.00","1,130.00","1,133.16","1,728.00",982.4,"85,65,354","9,70,59,45,957.70","1,70,563"
21-Aug-26,EQ,"1,133.00","1,133.50","1,118.00","1,130.00","1,121.00","1,121.00","1,126.04","1,728.00",982.4,"60,94,967","6,86,31,58,941.30","1,20,734"
20-Aug-26,EQ,"1,143.00","1,144.70","1,125.70","1,119.80","1,130.00","1,130.00","1,134.18","1,728.00",982.4,"85,59,841","9,70,84,37,176.30","1,70,960"
19-Aug-26,EQ,"1,125.60","1,134.70","1,113.80","1,115.00","1,119.80","1,119.80","1,120.37","1,728.00",982.4,"84,08,573","9,42,07,46,982.00","2,44,109"
18-Aug-26,EQ,"1,124.50","1,131.90","1,112.50","1,139.90","1,115.00","1,115.00","1,116.78","1,728.00",982.4,"88,51,110","9,88,47,51,133.50","1,97,181"
17-Aug-26,EQ,"1,163.90","1,166.50","1,129.70","1,169.20","1,139.90","1,139.90","1,142.87","1,728.00",982.4,"58,17,153","6,64,82,63,350.20","1,47,213"
14-Aug-26,EQ,"1,170.40","1,174.10","1,158.90","1,175.00","1,169.20","1,169.20","1,166.93","1,728.00",982.4,"58,44,763","6,82,04,53,891.50","1,36,821"
13-Aug-26,EQ,"1,170.00","1,175.00","1,157.00","1,176.10","1,175.00","1,175.00","1,166.54","1,728.00",982.4,"62,34,215","7,27,24,56,244.70","1,25,625"
12-Aug-26,EQ,"1,185.60","1,190.40","1,163.30","1,190.70","1,176.10","1,176.10","1,173.38","1,728.00",982.4,"75,29,777","8,83,52,93,993.20","1,71,090"
11-Aug-26,EQ,"1,188.00","1,193.50","1,182.00","1,183.00","1,190.70","1,190.70","1,188.94","1,728.00",982.4,"1,01,60,091","12,07,97,53,116.30","1,69,719"
10-Aug-26,EQ,"1,178.10","1,195.00","1,175.20","1,175.10","1,183.00","1,183.00","1,185.17","1,728.00",982.4,"93,77,001","11,11,33,17,655.60","1,58,965"
07-Aug-26,EQ,"1,160.00","1,183.00","1,155.60","1,165.00","1,175.10","1,175.10","1,175.23","1,728.00",982.4,"75,81,410","8,90,98,96,939.80","1,76,650"
06-Aug-26,EQ,"1,174.10","1,185.80","1,163.00","1,174.00","1,165.00","1,165.00","1,169.30","1,728.00",982.4,"85,21,064","9,96,37,00,971.80","1,75,674"
05-Aug-26,EQ,"1,174.70","1,177.50","1,162.30","1,167.50","1,174.00","1,174.00","1,168.01","1,728.00",982.4,"99,64,155","11,63,82,59,746.10","1,32,200"
04-Aug-26,EQ,"1,168.00","1,175.70","1,153.30","1,180.00","1,167.50","1,167.50","1,160.52","1,728.00",982.4,"92,43,589","10,72,74,10,174.00","1,30,401"
03-Aug-26,EQ,"1,145.10","1,180.00","1,138.10","1,130.10","1,180.00","1,180.00","1,160.88","1,728.00",982.4,"85,82,270","9,96,29,89,189.50","1,57,993"
31-Jul-26,EQ,"1,118.90","1,139.30","1,107.20","1,155.10","1,129.90","1,130.10","1,128.12","1,728.00",982.4,"1,43,67,075","16,20,77,71,804.10","2,71,437"
30-Jul-26,EQ,"1,168.00","1,187.70","1,151.30","1,155.60","1,155.00","1,155.10","1,173.03","1,728.00",982.4,"2,26,30,218","26,54,58,97,058.20","4,13,605"
29-Jul-26,EQ,"1,147.00","1,164.50","1,128.40","1,105.70","1,153.50","1,155.60","1,152.38","1,728.00",982.4,"3,44,00,369","39,64,21,72,401.80","4,59,638"
