DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52 WEEK HIGH,52 WEEK LOW,VOLUME,VALUE,NO. OF  TRADES
01-Sep-2026,EQ,"1,285.00","1,311.80","1,280.00","1,277.00","1,309.00","1,309.00","1,299.72","1,611.80","1,249.80","1,26,17,528","16,39,92,80,651.70","1,87,471"
31-Aug-2026,EQ,"1,278.70","1,297.60","1,271.00","1,287.00","1,277.00","1,277.00","1,278.43","1,611.80","1,249.80","3,48,71,137","44,58,02,83,834.50","2,44,866"
28-Aug-2026,EQ,"1,284.90","1,291.80","1,280.00","1,282.20","1,287.00","1,287.00","1,284.52","1,611.80","1,249.80","68,30,228","8,77,35,45,135.70","1,66,675"
27-Aug-2026,EQ,"1,305.00","1,308.40","1,282.20","1,298.00","1,282.20","1,282.20","1,292.18","1,611.80","1,249.80","1,12,71,497","14,56,48,25,828.90","2,18,067"
26-Aug-2026,EQ,"1,310.00","1,315.60","1,298.00","1,317.00","1,298.00","1,298.00","1,305.66","1,611.80","1,249.80","57,44,474","7,50,03,40,576.20","99,432"
25-Aug-2026,EQ,"1,304.30","1,317.10","1,300.00","1,309.80","1,317.00","1,317.00","1,305.89","1,611.80","1,249.80","71,15,355","9,29,18,91,624.70","1,04,584"
24-Aug-2026,EQ,"1,316.60","1,320.00","1,302.40","1,316.00","1,309.80","1,309.80","1,307.91","1,611.80","1,249.80","72,77,167","9,51,78,55,656.30","1,35,944"
21-Aug-2026,EQ,"1,314.00","1,316.00","1,308.00","1,313.20","1,316.00","1,316.00","1,311.20","1,611.80","1,249.80","54,34,871","7,12,62,21,067.30","92,200"
20-Aug-2026,EQ,"1,315.50","1,316.50","1,307.00","1,311.00","1,313.20","1,313.20","1,312.27","1,611.80","1,249.80","55,46,227","7,27,81,68,655.00","1,25,718"
19-Aug-2026,EQ,"1,320.30","1,321.60","1,303.50","1,322.00","1,311.00","1,311.00","1,312.86","1,611.80","1,249.80","74,89,365","9,83,24,51,637.50","1,60,390"
18-Aug-2026,EQ,"1,314.00","1,328.60","1,311.20","1,316.00","1,322.00","1,322.00","1,322.76","1,611.80","1,249.80","1,01,80,567","13,46,64,67,033.10","1,98,021"
17-Aug-2026,EQ,"1,314.00","1,320.80","1,298.10","1,310.00","1,316.00","1,316.00","1,308.63","1,611.80","1,249.80","1,33,83,867","17,51,44,89,451.00","2,08,057"
14-Aug-2026,EQ,"1,317.00","1,317.50","1,301.50","1,317.00","1,310.00","1,310.00","1,308.27","1,611.80","1,249.80","1,04,97,358","13,73,34,04,720.50","1,38,435"
13-Aug-2026,EQ,"1,327.80","1,327.80","1,307.20","1,329.00","1,317.00","1,317.00","1,313.84","1,611.80","1,249.80","93,97,301","12,34,65,53,928.40","1,47,799"
12-Aug-2026,EQ,"1,323.90","1,329.00","1,309.20","1,323.90","1,329.00","1,329.00","1,316.33","1,611.80","1,249.80","79,01,012","10,40,03,35,523.90","1,29,875"
11-Aug-2026,EQ,"1,326.60","1,328.70","1,314.10","1,327.30","1,323.90","1,323.90","1,322.58","1,611.80","1,249.80","99,53,124","13,16,37,70,084.20","1,21,384"
10-Aug-2026,EQ,"1,330.10","1,332.90","1,321.30","1,334.80","1,327.30","1,327.30","1,326.94","1,611.80","1,249.80","82,07,102","10,89,03,05,339.40","1,60,982"
07-Aug-2026,EQ,"1,320.00","1,337.00","1,316.60","1,325.00","1,334.80","1,334.80","1,329.09","1,611.80","1,249.80","98,85,638","13,13,88,78,797.80","1,61,575"
06-Aug-2026,EQ,"1,285.00","1,325.20","1,281.20","1,280.00","1,325.00","1,325.00","1,313.24","1,611.80","1,249.80","2,03,42,297","26,71,42,70,356.20","2,79,507"
05-Aug-2026,EQ,"1,293.00","1,299.00","1,270.10","1,290.90","1,280.00","1,280.00","1,280.84","1,611.80","1,249.80","2,48,20,782","31,79,14,72,335.40","3,55,243"
04-Aug-2026,EQ,"1,315.00","1,315.00","1,286.40","1,319.00","1,290.90","1,290.90","1,296.35","1,611.80","1,249.80","1,07,59,546","13,94,81,79,020.50","2,16,789"
03-Aug-2026,EQ,"1,315.20","1,319.00","1,306.00","1,307.80","1,319.00","1,319.00","1,311.09","1,611.80","1,249.80","75,08,023","9,84,36,85,449.40","1,58,782"
31-Jul-2026,EQ,"1,295.00","1,309.70","1,293.60","1,292.90","1,305.00","1,307.80","1,303.09","1,611.80","1,249.80","86,24,996","11,23,91,64,495.90","1,42,746"
30-Jul-2026,EQ,"1,279.80","1,297.00","1,275.30","1,275.90","1,289.40","1,292.90","1,290.41","1,611.80","1,249.80","1,21,58,451","15,68,94,34,967.60","2,09,491"
29-Jul-2026,EQ,"1,275.00","1,282.40","1,268.70","1,267.70","1,277.10","1,275.90","1,275.55","1,611.80","1,249.80","94,48,307","12,05,18,05,840.60","1,93,119"
28-Jul-2026,EQ,"1,275.00","1,279.20","1,265.90","1,280.00","1,271.70","1,267.70","1,271.03","1,611.80","1,249.80","93,12,184","11,83,60,95,240.80","2,33,124"
27-Jul-2026,EQ,"1,288.20","1,288.70","1,278.00","1,278.00","1,281.00","1,280.00","1,281.07","1,611.80","1,249.80","71,63,132","9,17,65,06,048.70","1,30,094"
24-Jul-2026,EQ,"1,265.00","1,283.40","1,249.80","1,272.20","1,280.50","1,278.00","1,274.32","1,611.80","1,249.80","98,17,000","12,50,99,75,780.10","2,40,418"
23-Jul-2026,EQ,"1,283.00","1,287.30","1,268.00","1,288.60","1,272.60","1,272.20","1,275.97","1,611.80","1,253.20","1,25,80,741","16,05,26,96,292.60","2,40,048"
22-Jul-2026,EQ,"1,302.00","1,304.60","1,280.70","1,303.70","1,284.00","1,288.60","1,291.01","1,611.80","1,253.20","1,08,40,383","13,99,50,01,337.70","2,25,591"
21-Jul-2026,EQ,"1,321.00","1,326.90","1,302.70","1,323.10","1,304.60","1,303.70","1,309.52","1,611.80","1,253.20","1,27,53,410","16,70,08,09,195.30","2,04,419"
20-Jul-2026,EQ,"1,317.20","1,345.90","1,314.90","1,327.20","1,321.90","1,323.10","1,330.16","1,611.80","1,253.20","1,43,05,844","19,02,90,41,193.90","2,21,661"
17-Jul-2026,EQ,"1,300.00","1,330.30","1,296.10","1,296.60","1,328.80","1,327.20","1,321.39","1,611.80","1,253.20","1,83,02,218","24,18,43,86,410.40","2,57,494"
16-Jul-2026,EQ,"1,295.50","1,309.40","1,291.80","1,295.50","1,300.00","1,296.60","1,301.20","1,611.80","1,253.20","1,56,31,046","20,33,90,50,955.80","2,19,816"
15-Jul-2026,EQ,"1,294.10","1,310.90","1,294.10","1,293.00","1,296.00","1,295.50","1,300.25","1,611.80","1,253.20","95,77,965","12,45,37,01,323.80","1,89,291"
14-Jul-2026,EQ,"1,290.00","1,308.00","1,286.90","1,296.90","1,295.00","1,293.00","1,296.78","1,611.80","1,253.20","1,35,11,284","17,52,12,20,474.20","2,31,407"
13-Jul-2026,EQ,"1,300.00","1,306.40","1,295.00","1,307.80","1,297.00","1,296.90","1,299.42","1,611.80","1,253.20","94,88,352","12,32,93,16,771.20","2,27,014"
10-Jul-2026,EQ,"1,291.90","1,311.10","1,287.80","1,279.80","1,310.00","1,307.80","1,301.71","1,611.80","1,253.20","84,12,537","10,95,07,23,928.20","1,43,317"
09-Jul-2026,EQ,"1,277.10","1,296.50","1,274.20","1,275.90","1,280.90","1,279.80","1,286.53","1,611.80","1,253.20","1,46,51,963","18,85,02,19,782.40","2,79,312"
08-Jul-2026,EQ,"1,297.00","1,302.30","1,271.60","1,308.40","1,274.90","1,275.90","1,284.32","1,611.80","1,253.20","1,99,60,868","25,63,61,41,483.50","3,68,557"
07-Jul-2026,EQ,"1,323.50","1,328.00","1,304.10","1,321.30","1,305.00","1,308.40","1,314.21","1,611.80","1,253.20","1,43,35,554","18,83,98,74,763.20","2,62,924"
06-Jul-2026,EQ,"1,304.00","1,325.60","1,299.40","1,304.00","1,321.70","1,321.30","1,316.79","1,611.80","1,253.20","76,10,709","10,02,16,98,838.70","2,10,015"
03-Jul-2026,EQ,"1,312.00","1,312.00","1,302.00","1,303.50","1,305.00","1,304.00","1,305.14","1,611.80","1,253.20","78,39,550","10,23,17,33,311.40","2,09,968"
02-Jul-2026,EQ,"1,310.00","1,313.20","1,299.00","1,308.00","1,301.90","1,303.50","1,303.94","1,611.80","1,253.20","1,77,95,024","23,20,35,84,205.10","3,31,954"
01-Jul-2026,EQ,"1,298.90","1,312.20","1,296.50","1,293.90","1,306.50","1,308.00","1,307.11","1,611.80","1,253.20","70,01,401","9,15,15,70,032.20","1,49,608"
30-Jun-2026,EQ,"1,306.90","1,306.90","1,290.00","1,301.00","1,294.50","1,293.90","1,295.14","1,611.80","1,253.20","1,56,95,263","20,32,75,86,926.90","2,13,627"
29-Jun-2026,EQ,"1,308.00","1,313.70","1,292.60","1,318.10","1,302.30","1,301.00","1,302.94","1,611.80","1,253.20","1,37,57,656","17,92,53,71,908.10","2,33,886"
25-Jun-2026,EQ,"1,318.00","1,328.00","1,314.60","1,313.60","1,316.50","1,318.10","1,320.81","1,611.80","1,253.20","1,26,94,362","16,76,68,28,496.70","2,26,862"
24-Jun-2026,EQ,"1,305.70","1,322.00","1,297.50","1,309.50","1,313.40","1,313.60","1,312.24","1,611.80","1,253.20","1,10,30,917","14,47,51,76,030.90","1,81,859"
23-Jun-2026,EQ,"1,328.90","1,333.00","1,304.00","1,326.50","1,306.00","1,309.50","1,318.19","1,611.80","1,253.20","1,54,00,184","20,30,04,11,366.40","1,84,704"
22-Jun-2026,EQ,"1,316.70","1,344.90","1,314.10","1,309.50","1,324.70","1,326.50","1,333.48","1,611.80","1,253.20","1,29,31,213","17,24,35,20,821.40","2,61,143"
19-Jun-2026,EQ,"1,328.00","1,338.20","1,305.30","1,328.10","1,311.50","1,309.50","1,317.76","1,611.80","1,253.20","2,48,87,034","32,79,50,56,305.40","2,71,929"
18-Jun-2026,EQ,"1,330.00","1,333.90","1,322.00","1,332.70","1,331.00","1,328.10","1,327.75","1,611.80","1,253.20","1,54,94,549","20,57,28,97,900.80","2,10,055"
17-Jun-2026,EQ,"1,333.00","1,334.00","1,317.00","1,328.80","1,332.10","1,332.70","1,328.97","1,611.80","1,253.20","1,00,29,170","13,32,84,74,070.80","2,23,240"
16-Jun-2026,EQ,"1,313.40","1,333.40","1,306.40","1,307.00","1,328.60","1,328.80","1,326.71","1,611.80","1,253.20","1,85,13,223","24,56,16,59,086.40","2,68,584"
15-Jun-2026,EQ,"1,315.30","1,325.00","1,303.30","1,293.00","1,306.50","1,307.00","1,311.06","1,611.80","1,253.20","1,86,33,321","24,42,93,12,588.70","2,20,103"
12-Jun-2026,EQ,"1,277.00","1,297.00","1,262.50","1,263.00","1,296.40","1,293.00","1,277.16","1,611.80","1,253.20","1,19,88,785","15,31,16,01,155.20","1,96,811"
11-Jun-2026,EQ,"1,258.00","1,276.00","1,253.20","1,258.80","1,264.50","1,263.00","1,265.78","1,611.80","1,253.20","1,31,17,486","16,60,37,91,532.60","2,08,052"
10-Jun-2026,EQ,"1,275.00","1,300.50","1,254.40","1,269.20","1,258.70","1,258.80","1,274.15","1,611.80","1,254.40","2,10,12,796","26,77,34,74,717.20","3,07,301"
09-Jun-2026,EQ,"1,269.00","1,274.20","1,257.50","1,263.30","1,272.30","1,269.20","1,264.75","1,611.80","1,257.50","2,36,20,214","29,87,37,31,086.30","2,73,651"
08-Jun-2026,EQ,"1,277.00","1,282.60","1,259.20","1,291.00","1,262.80","1,263.30","1,271.90","1,611.80","1,259.20","1,64,94,759","20,97,96,89,703.10","3,03,591"
05-Jun-2026,EQ,"1,304.50","1,306.00","1,288.00","1,303.70","1,291.40","1,291.00","1,294.80","1,611.80","1,288.00","1,77,85,223","23,02,83,93,410.00","3,56,802"
04-Jun-2026,EQ,"1,301.00","1,311.20","1,293.10","1,313.20","1,308.00","1,303.70","1,303.16","1,611.80","1,290.00","2,34,74,327","30,59,07,35,365.60","3,18,716"
03-Jun-2026,EQ,"1,315.00","1,324.00","1,301.00","1,314.60","1,312.60","1,313.20","1,309.61","1,611.80","1,290.00","2,00,12,293","26,20,82,26,472.80","3,80,780"
02-Jun-2026,EQ,"1,307.70","1,327.80","1,300.30","1,320.00","1,321.00","1,314.60","1,313.43","1,611.80","1,290.00","2,33,02,785","30,60,65,99,536.00","3,62,323"
01-Jun-2026,EQ,"1,332.50","1,335.50","1,318.50","1,321.20","1,320.20","1,320.00","1,324.32","1,611.80","1,290.00","1,07,00,603","14,17,09,74,474.50","2,12,031"
