Date,Actual,Predicted,Actual_Label,Predicted_Label
2026-08-04,1,0,UP,DOWN
2026-08-05,1,0,UP,DOWN
2026-08-06,0,0,DOWN,DOWN
2026-08-07,1,0,UP,DOWN
2026-08-10,0,0,DOWN,DOWN
2026-08-11,0,0,DOWN,DOWN
2026-08-12,0,0,DOWN,DOWN
2026-08-13,0,0,DOWN,DOWN
2026-08-14,0,0,DOWN,DOWN
2026-08-17,0,0,DOWN,DOWN
2026-08-18,0,0,DOWN,DOWN
2026-08-19,1,0,UP,DOWN
2026-08-20,1,0,UP,DOWN
2026-08-21,0,0,DOWN,DOWN
2026-08-24,1,0,UP,DOWN
2026-08-25,0,0,DOWN,DOWN
2026-08-26,0,0,DOWN,DOWN
2026-08-27,1,0,UP,DOWN
2026-08-28,0,0,DOWN,DOWN
2026-08-31,0,0,DOWN,DOWN
2026-09-01,0,0,DOWN,DOWN
