DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52 WEEK HIGH,52 WEEK LOW,VOLUME,VALUE,NO. OF  TRADES,PRICE_CHANGE,DAILY_RETURN_%,SMA_5,SMA_20,EMA_10,VOLATILITY_10D_%,ROLLING_HIGH_20,DRAWDOWN_%
2026-06-01,EQ,1332.5,1335.5,1318.5,1321.2,1320.2,1320.0,1324.32,1611.8,1290.0,10700603,14170974474.5,212031,,,,,1320.0,,,0.0
2026-06-02,EQ,1307.7,1327.8,1300.3,1320.0,1321.0,1314.6,1313.43,1611.8,1290.0,23302785,30606599536.0,362323,-5.400000000000091,-0.4090909090909145,,,1319.0181818181818,,,-0.4090909090909145
2026-06-03,EQ,1315.0,1324.0,1301.0,1314.6,1312.6,1313.2,1309.61,1611.8,1290.0,20012293,26208226472.8,380780,-1.3999999999998636,-0.10649627263045192,,,1317.9603305785122,,,-0.5151515151515129
2026-06-04,EQ,1301.0,1311.2,1293.1,1313.2,1308.0,1303.7,1303.16,1611.8,1290.0,23474327,30590735365.6,318716,-9.5,-0.7234236978373443,,,1315.3675432006007,,,-1.234848484848483
2026-06-05,EQ,1304.5,1306.0,1288.0,1303.7,1291.4,1291.0,1294.8,1611.8,1288.0,17785223,23028393410.0,356802,-12.700000000000045,-0.9741504947457291,1308.5,,1310.9370808004915,,,-2.1969696969696972
2026-06-08,EQ,1277.0,1282.6,1259.2,1291.0,1262.8,1263.3,1271.9,1611.8,1259.2,16494759,20979689703.1,303591,-27.700000000000045,-2.1456235476374985,1297.16,,1302.2757933822202,,,-4.295454545454547
2026-06-09,EQ,1269.0,1274.2,1257.5,1263.3,1272.3,1269.2,1264.75,1611.8,1257.5,23620214,29873731086.3,273651,5.900000000000091,0.4670307923692052,1288.0800000000002,,1296.262012767271,,,-3.8484848484848455
2026-06-10,EQ,1275.0,1300.5,1254.4,1269.2,1258.7,1258.8,1274.15,1611.8,1254.4,21012796,26773474717.2,307301,-10.400000000000091,-0.8194138039710142,1277.2,,1289.450737718676,,,-4.6363636363636385
2026-06-11,EQ,1258.0,1276.0,1253.2,1258.8,1264.5,1263.0,1265.78,1611.8,1253.2,13117486,16603791532.6,208052,4.2000000000000455,0.3336510962821837,1269.06,,1284.6415126789168,,,-4.318181818181821
2026-06-12,EQ,1277.0,1297.0,1262.5,1263.0,1296.4,1293.0,1277.16,1611.8,1253.2,11988785,15311601155.2,196811,30.0,2.375296912114022,1269.46,,1286.1612376463863,,,-2.0454545454545503
2026-06-15,EQ,1315.3,1325.0,1303.3,1293.0,1306.5,1307.0,1311.06,1611.8,1253.2,18633321,24429312588.7,220103,14.0,1.0827532869296164,1278.2,,1289.9501035288615,1.2465702403685623,,-0.9848484848484884
2026-06-16,EQ,1313.4,1333.4,1306.4,1307.0,1328.6,1328.8,1326.71,1611.8,1253.2,18513223,24561659086.4,268584,21.799999999999955,1.6679418515684663,1290.1200000000001,,1297.0137210690684,1.356083285010458,,0.0
2026-06-17,EQ,1333.0,1334.0,1317.0,1328.8,1332.1,1332.7,1328.97,1611.8,1253.2,10029170,13328474070.8,223240,3.900000000000091,0.2934978928356591,1304.9,,1303.5021354201467,1.3546977099343902,,0.0
