,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,VOLUME,VALUE,NO. OF  TRADES,RETURN,RANGE,OPEN_TO_CLOSE,SMA_5,SMA_10,SMA_20,EMA_10,VOLATILITY_5,MOMENTUM_5
OPEN,1.0,0.8727270385836995,0.9266586735635451,0.9373651650759075,0.7625095157455892,0.7801089463328382,0.8658240039725839,-0.19191732408719817,-0.1650074468457792,-0.2218285414810971,-0.21182705867613472,-0.23981276645754365,-0.26730291061743855,0.7574334005410531,0.3240247235908911,0.07046274746842078,0.7128482579182507,-0.021472036194530076,0.5730573040846099
HIGH,0.8727270385836995,1.0,0.9014418367029363,0.8090698022734084,0.8885021655325347,0.9013357350637821,0.9683263986527305,-0.056312168637522024,-0.024100962811146872,-0.13059879227299157,0.11484044922772971,0.09399437500428913,0.10635115277059584,0.6725099331215425,0.18140382845563874,0.11538735230022784,0.6309668571379909,0.14865751126309026,0.6867733528282907
LOW,0.9266586735635451,0.9014418367029363,1.0,0.8603566272652908,0.8854458859475998,0.8964213844345689,0.950848585487754,-0.2700427586878842,-0.24064249551504205,-0.31820523048885646,0.03997467773398274,-0.3462532078411221,0.019566134138057214,0.6940754047660516,0.3229379819933128,0.1286572804780684,0.6878308494121045,0.009477963768173874,0.6562920090810961
PREV. CLOSE,0.9373651650759075,0.8090698022734084,0.8603566272652908,1.0,0.6866237400531172,0.6983474539590128,0.8002429875905807,-0.13048519157717592,-0.1056873769272261,-0.1412032304849872,-0.39722611045705436,-0.22528507820020713,-0.30123203950404387,0.8065221197458922,0.3802521267782346,0.11315026196261943,0.7652883540373336,-0.014643900615233896,0.4639132036536467
LTP,0.7625095157455892,0.8885021655325347,0.8854458859475998,0.6866237400531172,1.0,0.9954685971431843,0.9427338039683661,-0.21972732488041738,-0.18922372638774765,-0.29246819843926103,0.39398541387859737,-0.11084628053947836,0.41322391608238956,0.5999678754680887,0.18632661392634112,0.023415359685244976,0.5923939059454246,0.14038428721381116,0.747254875346585
CLOSE,0.7801089463328382,0.9013357350637821,0.8964213844345689,0.6983474539590128,0.9954685971431843,1.0,0.9541143942197852,-0.23631455737921278,-0.20580061220221807,-0.30419877125627615,0.3844837620914957,-0.10827572982708432,0.3943527258417145,0.6127131653835964,0.19814441219324147,0.01620300651812774,0.5936251676094468,0.13275903509900877,0.7482425466595939
VWAP,0.8658240039725839,0.9683263986527305,0.950848585487754,0.8002429875905807,0.9427338039683661,0.9541143942197852,1.0,-0.18681977423687202,-0.15429403193363503,-0.22818354294108376,0.19366703165528273,-0.08827006391025075,0.1977798460294962,0.672409097619422,0.22252384872593023,0.0808152855673559,0.6418245495805037,0.10617125616521966,0.7116930019121022
VOLUME,-0.19191732408719817,-0.056312168637522024,-0.2700427586878842,-0.13048519157717592,-0.21972732488041738,-0.23631455737921278,-0.18681977423687202,1.0,0.9993626112134246,0.7613970065508998,-0.1347776848841524,0.49900283728731687,-0.0820778548068967,-0.16945274008533778,-0.3132171532416799,-0.05127804060198271,-0.11619076216406328,0.16494241893628162,-0.08189905383967087
VALUE,-0.1650074468457792,-0.024100962811146872,-0.24064249551504205,-0.1056873769272261,-0.18922372638774765,-0.20580061220221807,-0.15429403193363503,0.9993626112134246,1.0,0.7609737078023259,-0.1275560110217211,0.501194001985371,-0.07460628169234029,-0.14955079010535152,-0.3114514873665556,-0.051339795567473284,-0.09739413428076367,0.17107939447222173,-0.056102970316093244
NO. OF  TRADES,-0.2218285414810971,-0.13059879227299157,-0.31820523048885646,-0.1412032304849872,-0.29246819843926103,-0.30419877125627615,-0.22818354294108376,0.7613970065508998,0.7609737078023259,1.0,-0.20855480233590085,0.4487785841857399,-0.14269845087253702,-0.22528327955856287,-0.3643226679208799,-0.20189452425055204,-0.10017501480239796,0.19524463797251748,-0.15727125423479688
RETURN,-0.21182705867613472,0.11484044922772971,0.03997467773398274,-0.39722611045705436,0.39398541387859737,0.3844837620914957,0.19366703165528273,-0.1347776848841524,-0.1275560110217211,-0.20855480233590085,1.0,0.15567751145033282,0.8997560489139473,-0.2466480014213516,-0.22831506157825665,-0.11079372984205631,-0.23093292732938084,0.19220037643328167,0.36229050367106935
RANGE,-0.23981276645754365,0.09399437500428913,-0.3462532078411221,-0.22528507820020713,-0.11084628053947836,-0.10827572982708432,-0.08827006391025075,0.49900283728731687,0.501194001985371,0.4487785841857399,0.15567751145033282,1.0,0.18547663098089998,-0.1394976550921824,-0.316904069680763,-0.04017652764087145,-0.21448289603983908,0.2965134487662589,-0.024650309912132858
